epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,10440,0.32655,0.70173,0.78936,0.82188,0.4207,0.48877,0.38967,0.22494,0.45089,0.45206,0.37989,0.18771,1.56526,3.68937,1.79704,2.17928,4.57905e-05,4.57905e-05,4.57905e-05
52,10645.1,0.32303,0.69809,0.79484,0.8217,0.41873,0.49253,0.3876,0.22511,0.43864,0.45667,0.37468,0.18669,1.56547,3.72008,1.76052,2.18622,3.83711e-05,3.83711e-05,3.83711e-05
53,10849.6,0.32654,0.69486,0.78693,0.82114,0.42527,0.48118,0.39063,0.22771,0.44578,0.4617,0.37786,0.18908,1.56872,3.71098,1.7621,2.19178,3.1677e-05,3.1677e-05,3.1677e-05
54,11054.2,0.32292,0.69237,0.79247,0.82736,0.41997,0.48267,0.38219,0.22556,0.44399,0.45544,0.37582,0.18689,1.57064,3.71071,1.77652,2.20073,2.57266e-05,2.57266e-05,2.57266e-05
55,11259,0.3209,0.69095,0.78803,0.82023,0.41407,0.49737,0.3839,0.22286,0.43257,0.45059,0.37426,0.18775,1.56769,3.70435,1.78231,2.19159,2.05362e-05,2.05362e-05,2.05362e-05
56,11463,0.32012,0.68641,0.78706,0.82168,0.41458,0.50644,0.38397,0.22293,0.43388,0.44172,0.36792,0.1869,1.57579,3.72142,1.78661,2.1996,1.612e-05,1.612e-05,1.612e-05
57,11668.1,0.31415,0.68182,0.78165,0.82033,0.40975,0.49946,0.38805,0.22601,0.43781,0.43466,0.37168,0.1871,1.57754,3.74075,1.79091,2.2027,1.24902e-05,1.24902e-05,1.24902e-05
58,11877.3,0.31782,0.68836,0.78276,0.81954,0.42011,0.50332,0.38778,0.22819,0.43322,0.43213,0.37084,0.18775,1.57369,3.73038,1.79132,2.19482,9.65656e-06,9.65656e-06,9.65656e-06
59,12094.6,0.31599,0.68866,0.78332,0.81953,0.41913,0.49862,0.39198,0.22658,0.45036,0.45168,0.38642,0.19002,1.5747,3.7247,1.79775,2.19266,7.627e-06,7.627e-06,7.627e-06
60,12303.9,0.31145,0.68731,0.78363,0.81924,0.41517,0.49155,0.38897,0.2267,0.43694,0.45398,0.38243,0.18999,1.57968,3.76497,1.78818,2.2077,6.40703e-06,6.40703e-06,6.40703e-06
