epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,11030.3,0.40745,0.85036,0.27876,0.91095,0.8124,0.69935,0.75084,0.5974,0.81229,0.69629,0.74508,0.57341,1.26931,2.79802,1.29609,1.87189,0.000242932,0.000242932,0.000242932
40,11306.8,0.40816,0.84944,0.27651,0.91187,0.79275,0.70812,0.75495,0.60079,0.77811,0.70768,0.74013,0.57367,1.25485,2.7864,1.27998,1.86451,0.00022422,0.00022422,0.00022422
41,11584.4,0.40206,0.84667,0.27758,0.9066,0.81291,0.69193,0.74741,0.59576,0.80315,0.69298,0.73871,0.5685,1.26613,2.82198,1.3526,1.86778,0.000206,0.000206,0.000206
42,11861.7,0.39882,0.84448,0.27182,0.9067,0.77265,0.71945,0.75238,0.59818,0.78429,0.70921,0.74082,0.56992,1.26887,2.782,1.27701,1.88513,0.000188323,0.000188323,0.000188323
43,12138.8,0.39359,0.83589,0.27002,0.89992,0.78371,0.71998,0.74804,0.59556,0.783,0.71355,0.73747,0.56829,1.26771,2.82911,1.28504,1.88505,0.000171237,0.000171237,0.000171237
44,12415.8,0.38868,0.82283,0.26555,0.90327,0.81372,0.70347,0.75504,0.5994,0.8086,0.70098,0.74574,0.57292,1.26353,2.84001,1.2498,1.88312,0.000154789,0.000154789,0.000154789
45,12691.9,0.38373,0.82576,0.26207,0.89834,0.80377,0.69951,0.75385,0.60039,0.78512,0.70887,0.74311,0.56985,1.26366,2.86635,1.26277,1.88662,0.000139024,0.000139024,0.000139024
46,12968.7,0.37991,0.81394,0.25886,0.89567,0.79273,0.71791,0.75344,0.60216,0.8032,0.69869,0.73855,0.57055,1.25746,2.84788,1.28034,1.87624,0.000123986,0.000123986,0.000123986
47,13245.1,0.37718,0.8171,0.25604,0.89087,0.82211,0.69092,0.7511,0.60122,0.815,0.68936,0.74363,0.57352,1.25974,2.86987,1.29331,1.88514,0.000109715,0.000109715,0.000109715
48,13522,0.37325,0.80771,0.25597,0.89311,0.80836,0.70005,0.7545,0.6024,0.80355,0.70216,0.74613,0.57324,1.25998,2.85647,1.27977,1.87726,9.62502e-05,9.62502e-05,9.62502e-05
49,13798.7,0.37199,0.80715,0.25644,0.88896,0.78032,0.71398,0.75302,0.60261,0.77733,0.71151,0.7454,0.57473,1.25714,2.89557,1.28603,1.87523,8.36293e-05,8.36293e-05,8.36293e-05
50,14075.3,0.37094,0.80467,0.25394,0.88779,0.8056,0.70348,0.75622,0.60187,0.80304,0.70033,0.74233,0.57308,1.26,2.85681,1.27571,1.88609,7.18865e-05,7.18865e-05,7.18865e-05
51,14353.8,0.36927,0.80133,0.25221,0.89236,0.7805,0.71935,0.75186,0.60208,0.77709,0.71361,0.74202,0.5724,1.25857,2.87387,1.2796,1.88906,6.10539e-05,6.10539e-05,6.10539e-05
52,14632,0.36212,0.7954,0.24954,0.88569,0.81582,0.70087,0.75531,0.60397,0.8142,0.69954,0.74466,0.57347,1.25822,2.87228,1.26492,1.88914,5.11614e-05,5.11614e-05,5.11614e-05
53,14909.4,0.36657,0.7981,0.25052,0.88769,0.80348,0.70267,0.75543,0.60365,0.80315,0.70106,0.74462,0.57543,1.25487,2.87594,1.28235,1.88611,4.2236e-05,4.2236e-05,4.2236e-05
54,15186.1,0.35869,0.78808,0.25027,0.88969,0.79924,0.70717,0.75545,0.60305,0.81084,0.69625,0.74529,0.57511,1.26035,2.88901,1.28667,1.89362,3.43022e-05,3.43022e-05,3.43022e-05
55,15463.2,0.36072,0.79316,0.24749,0.8841,0.79606,0.7101,0.75409,0.60347,0.79902,0.70408,0.74433,0.57399,1.26209,2.90416,1.28592,1.89965,2.73816e-05,2.73816e-05,2.73816e-05
56,15741.1,0.35599,0.78706,0.24658,0.88039,0.77648,0.72251,0.75409,0.60495,0.79228,0.70862,0.7459,0.57582,1.25936,2.9129,1.28359,1.89736,2.14934e-05,2.14934e-05,2.14934e-05
57,16018.9,0.35554,0.78779,0.24392,0.88016,0.79347,0.71279,0.75371,0.60322,0.79699,0.70988,0.7446,0.57447,1.25711,2.90347,1.27416,1.89862,1.66536e-05,1.66536e-05,1.66536e-05
58,16296.1,0.35681,0.78841,0.24408,0.88195,0.77115,0.72995,0.75714,0.60418,0.78792,0.71011,0.7453,0.57616,1.25963,2.90017,1.28304,1.898,1.28754e-05,1.28754e-05,1.28754e-05
59,16572,0.36041,0.79297,0.24619,0.88581,0.79433,0.7123,0.75766,0.60357,0.79672,0.70836,0.74555,0.57512,1.25797,2.89688,1.27664,1.90127,1.01693e-05,1.01693e-05,1.01693e-05
60,16849.3,0.35665,0.78631,0.24728,0.88431,0.78948,0.71884,0.75674,0.60542,0.7951,0.71011,0.74588,0.57554,1.25655,2.88696,1.27345,1.89489,8.5427e-06,8.5427e-06,8.5427e-06
