epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,4827.25,1.49336,2.24026,1.86591,0.57636,0.38289,0.43875,0.31295,1.76454,2.57682,2.09186,0.0007228,0.0007228,0.0007228
30,4977.88,1.44119,2.19817,1.8272,0.39465,0.46292,0.44944,0.29863,1.85633,2.55627,2.18518,0.0007129,0.0007129,0.0007129
31,5139.48,1.46716,2.18963,1.83938,0.69677,0.43253,0.47168,0.33699,1.76213,2.44801,2.08364,0.000703,0.000703,0.000703
32,5289.7,1.43154,2.13081,1.80019,0.56358,0.39969,0.43698,0.30994,1.82689,2.55355,2.13906,0.0006931,0.0006931,0.0006931
33,15252,1.40936,2.12819,1.79241,0.38634,0.48171,0.44101,0.31391,1.79176,2.47456,2.09655,0.0006832,0.0006832,0.0006832
34,15425,1.42201,2.06589,1.79045,0.53738,0.48776,0.46458,0.31287,1.81291,2.50489,2.13287,0.0006733,0.0006733,0.0006733
35,15569,1.4156,2.04488,1.79832,0.45013,0.51193,0.48365,0.33545,1.78066,2.39654,2.1457,0.0006634,0.0006634,0.0006634
36,15744.9,1.40439,2.01572,1.77316,0.50175,0.41788,0.46349,0.31923,1.83887,2.42529,2.10853,0.0006535,0.0006535,0.0006535
37,15888.1,1.35167,1.9214,1.73972,0.50902,0.47783,0.46107,0.32746,1.7575,2.37888,2.10698,0.0006436,0.0006436,0.0006436
38,16039.8,1.38583,1.98413,1.78049,0.42155,0.49163,0.46681,0.324,1.80741,2.29183,2.12623,0.0006337,0.0006337,0.0006337
39,16202.4,1.37333,1.98797,1.76572,0.50333,0.44796,0.45245,0.32681,1.75606,2.39384,2.11764,0.0006238,0.0006238,0.0006238
40,16361.8,1.34446,1.91642,1.7478,0.55589,0.44753,0.44913,0.30964,1.78544,2.42519,2.10582,0.0006139,0.0006139,0.0006139
41,16520,1.30364,1.91131,1.70785,0.54308,0.45031,0.48464,0.33558,1.68736,2.32963,2.05885,0.000604,0.000604,0.000604
42,16677.4,1.31349,1.85567,1.71776,0.52683,0.4596,0.4761,0.34374,1.78178,2.34359,2.1159,0.0005941,0.0005941,0.0005941
43,16849.4,1.26821,1.8201,1.67029,0.50675,0.45668,0.48052,0.33922,1.76938,2.31958,2.0836,0.0005842,0.0005842,0.0005842
44,17014.6,1.30816,1.84492,1.68899,0.5974,0.44529,0.49623,0.35185,1.76788,2.31805,2.11474,0.0005743,0.0005743,0.0005743
45,17148.2,1.29138,1.80661,1.68109,0.49143,0.48308,0.49051,0.34986,1.78148,2.3889,2.13564,0.0005644,0.0005644,0.0005644
46,17311.1,1.27771,1.8401,1.6966,0.50455,0.44392,0.47287,0.33199,1.80703,2.51984,2.16953,0.0005545,0.0005545,0.0005545
47,17504.4,1.24888,1.78142,1.65074,0.48365,0.4406,0.47756,0.34158,1.78134,2.40822,2.13432,0.0005446,0.0005446,0.0005446
48,17655.4,1.25993,1.73593,1.66509,0.58074,0.41471,0.46,0.33357,1.80507,2.38229,2.16124,0.0005347,0.0005347,0.0005347
49,17805.6,1.21884,1.70186,1.62855,0.5044,0.45838,0.47876,0.34283,1.80368,2.41261,2.13845,0.0005248,0.0005248,0.0005248
50,17965.2,1.23114,1.7402,1.6264,0.50733,0.46707,0.47674,0.33766,1.78284,2.42323,2.09993,0.0005149,0.0005149,0.0005149
51,18122.6,1.17716,1.64492,1.58198,0.55065,0.46623,0.50842,0.34044,1.83141,2.42315,2.19697,0.000505,0.000505,0.000505
52,18291.3,1.2031,1.65104,1.61034,0.52565,0.45497,0.49689,0.34775,1.75834,2.37431,2.10024,0.0004951,0.0004951,0.0004951
53,18448,1.16604,1.61361,1.56872,0.51556,0.4663,0.49008,0.34153,1.81366,2.36735,2.15357,0.0004852,0.0004852,0.0004852
54,18618.2,1.19083,1.6687,1.62225,0.53358,0.4585,0.48148,0.3448,1.76063,2.40188,2.12853,0.0004753,0.0004753,0.0004753
55,18776.3,1.16717,1.5802,1.5872,0.52176,0.47782,0.49037,0.34376,1.82853,2.26301,2.16354,0.0004654,0.0004654,0.0004654
56,18921.1,1.18853,1.59253,1.61074,0.49633,0.47606,0.47533,0.34149,1.77397,2.48399,2.14852,0.0004555,0.0004555,0.0004555
57,19073.2,1.12501,1.5317,1.54775,0.51604,0.49336,0.49133,0.34451,1.81149,2.30517,2.21426,0.0004456,0.0004456,0.0004456
58,19222.6,1.14427,1.5195,1.56491,0.51058,0.4829,0.49581,0.34501,1.82279,2.38096,2.16988,0.0004357,0.0004357,0.0004357
59,19398.7,1.12596,1.46403,1.53141,0.51358,0.4566,0.47834,0.33304,1.80026,2.42972,2.18662,0.0004258,0.0004258,0.0004258
60,19557.7,1.11749,1.47141,1.52,0.52852,0.43874,0.46507,0.32937,1.78361,2.46533,2.14286,0.0004159,0.0004159,0.0004159
61,19717.7,1.11178,1.45985,1.52472,0.53378,0.44627,0.45239,0.32098,1.80077,2.37717,2.15892,0.000406,0.000406,0.000406
62,19895.6,1.08654,1.42589,1.50198,0.53036,0.43143,0.43567,0.30708,1.85122,2.49897,2.18483,0.0003961,0.0003961,0.0003961
63,20074.6,1.09669,1.41983,1.52218,0.57662,0.42317,0.47326,0.34307,1.82791,2.45188,2.19367,0.0003862,0.0003862,0.0003862
64,20243.4,1.05694,1.33907,1.47935,0.4999,0.43743,0.43095,0.30741,1.81762,2.46616,2.17472,0.0003763,0.0003763,0.0003763
65,20396.8,1.05117,1.36534,1.47979,0.49027,0.45025,0.45334,0.31649,1.78555,2.44317,2.13627,0.0003664,0.0003664,0.0003664
66,20552,1.03607,1.34905,1.4791,0.47527,0.46688,0.43883,0.30179,1.81894,2.46634,2.17779,0.0003565,0.0003565,0.0003565
67,20706.4,1.02345,1.29735,1.46082,0.48569,0.47069,0.43966,0.30172,1.82831,2.39756,2.19507,0.0003466,0.0003466,0.0003466
1,236.155,1.79964,4.02638,2.08741,0.21481,0.13772,0.13653,0.06465,2.108,4.02227,2.5159,0.000327957,0.000327957,0.000327957
2,436.829,1.86749,3.21205,2.15605,0.24436,0.18713,0.05744,0.02613,2.54604,4.84475,3.04991,0.000654744,0.000654744,0.000654744
3,659.508,2.03696,3.1984,2.31284,0.72328,0.04439,0.02885,0.00936,2.97481,4.98111,3.39604,0.00097493,0.00097493,0.00097493
4,858.614,2.0243,3.23136,2.32123,0.21543,0.13651,0.04161,0.01569,2.68132,6.66089,3.00599,0.0009703,0.0009703,0.0009703
5,1056.58,2.02666,3.17833,2.33589,0.06969,0.10538,0.03717,0.01637,2.57711,5.22779,2.93832,0.0009604,0.0009604,0.0009604
6,1256.59,1.96572,3.23221,2.27753,0.953,0.09333,0.14729,0.06129,2.57622,3.9779,2.80484,0.0009505,0.0009505,0.0009505
7,1439.84,1.96994,3.09491,2.27117,0.44227,0.13353,0.08397,0.03338,2.49286,3.69328,2.80153,0.0009406,0.0009406,0.0009406
8,1634.67,1.90067,3.09817,2.23196,0.18793,0.26575,0.18216,0.10178,2.21905,3.32716,2.56198,0.0009307,0.0009307,0.0009307
9,1818.36,1.85326,3.0109,2.19196,0.38863,0.23611,0.19607,0.11106,2.17837,3.75708,2.48412,0.0009208,0.0009208,0.0009208
10,1995.4,1.85777,2.96608,2.17044,0.48187,0.3435,0.32682,0.17933,2.10383,3.1842,2.44824,0.0009109,0.0009109,0.0009109
11,2166.41,1.80101,2.8811,2.14109,0.33467,0.23587,0.2205,0.12776,2.20185,4.19929,2.44503,0.000901,0.000901,0.000901
