epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,12335.3,1.15642,2.31322,1.50422,1.51312,0.64891,0.62676,0.64801,0.49692,0.64447,0.62726,0.64258,0.48597,1.30045,2.33403,1.55899,1.7042,0.00242926,0.00242926,0.00242926
54,12567,1.11993,2.26318,1.47222,1.49507,0.68312,0.65828,0.6818,0.52489,0.68006,0.65175,0.67601,0.50531,1.26736,2.2808,1.45241,1.65019,0.0024087,0.0024087,0.0024087
55,12798.5,1.13821,2.26737,1.48169,1.49388,0.63401,0.64896,0.65841,0.49917,0.62489,0.64336,0.6448,0.48807,1.28661,2.36716,1.52145,1.67687,0.00238786,0.00238786,0.00238786
56,13030.2,1.11548,2.24561,1.43705,1.48432,0.68634,0.6456,0.6641,0.51217,0.68958,0.64735,0.66451,0.50703,1.26659,2.28054,1.47471,1.64457,0.00236676,0.00236676,0.00236676
57,13262.6,1.11902,2.23336,1.44126,1.48274,0.6779,0.65238,0.67594,0.51021,0.67921,0.6549,0.66868,0.5043,1.27579,2.29246,1.47078,1.66468,0.0023454,0.0023454,0.0023454
58,13494.1,1.11871,2.20478,1.42895,1.46921,0.6505,0.65919,0.6771,0.50592,0.65617,0.66361,0.67699,0.50372,1.29485,2.30332,1.48945,1.67771,0.00232379,0.00232379,0.00232379
59,13725.2,1.10777,2.23451,1.4387,1.47339,0.66895,0.658,0.67145,0.51463,0.67595,0.65786,0.67424,0.50527,1.25304,2.24472,1.43745,1.62756,0.00230193,0.00230193,0.00230193
60,13957.2,1.10433,2.2488,1.42288,1.47763,0.67889,0.65381,0.68597,0.52406,0.68206,0.65181,0.6815,0.51509,1.22891,2.25195,1.43739,1.6056,0.00227983,0.00227983,0.00227983
61,14189.4,1.09928,2.22693,1.4045,1.46878,0.71129,0.65312,0.68127,0.52933,0.71888,0.6507,0.6819,0.51265,1.23335,2.2818,1.43178,1.60207,0.0022575,0.0022575,0.0022575
62,14421.8,1.09536,2.19218,1.41755,1.45872,0.68931,0.64813,0.67656,0.51028,0.69725,0.63447,0.66298,0.50266,1.27678,2.244,1.44278,1.67608,0.00223494,0.00223494,0.00223494
63,14653.9,1.11621,2.25511,1.42117,1.48593,0.67263,0.66959,0.67997,0.51882,0.68216,0.66407,0.67715,0.51092,1.25917,2.263,1.42985,1.65081,0.00221217,0.00221217,0.00221217
